modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
10000,2020-01,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4
10001,2020-01,938,241,69,29,19,5,38,0,33,9,1,0,1,8,29,69,82,27,74,43,15,6,2,36,53,4,15,37,38,268,364,119,112
10002,2020-01,1544,460,149,180,32,13,32,0,10,10,39,0,16,15,180,149,64,72,261,51,10,7,27,66,39,16,11,38,32,603,577,133,161
10003,2020-01,1535,330,155,83,60,18,48,0,21,19,2,0,2,6,83,155,82,70,84,61,24,1,8,119,75,28,31,63,48,498,518,217,191
10004,2020-01,304,32,3,3,2,1,16,0,4,1,5,0,0,0,3,3,16,7,3,4,2,0,1,5,14,0,5,3,16,175,59,11,40
10005,2020-01,475,211,28,0,2,0,9,0,3,2,4,0,2,0,0,28,16,9,22,159,5,0,0,7,4,1,1,7,9,363,54,10,32
10006,2020-01,97,28,2,2,0,3,4,0,0,1,3,0,1,2,2,2,19,0,3,5,1,0,0,2,3,0,0,4,4,38,33,2,16
10007,2020-01,420,105,31,0,6,0,12,0,7,5,9,0,0,0,0,31,13,3,15,70,2,1,0,7,13,0,5,11,12,247,67,28,55
10009,2020-01,1252,474,39,130,32,9,14,0,6,4,0,0,8,5,130,39,60,100,275,28,10,3,33,95,46,20,17,28,14,507,466,157,80
10010,2020-01,627,154,33,50,10,4,9,0,15,4,1,0,0,0,50,33,72,15,55,8,4,3,11,27,34,3,4,20,9,131,342,55,70
10011,2020-01,1229,250,90,62,41,12,56,0,24,9,2,0,4,12,62,90,81,30,77,47,14,1,6,84,42,13,16,32,56,321,451,246,123
10012,2020-01,751,229,57,45,24,14,16,0,5,7,4,0,1,4,45,57,42,54,72,51,10,3,1,78,20,4,7,26,16,258,255,129,67
10013,2020-01,858,183,69,31,33,8,43,0,11,14,21,0,2,4,31,69,54,22,45,49,13,2,2,57,52,4,11,36,43,230,262,135,152
10014,2020-01,908,201,49,77,26,14,12,0,5,10,16,0,3,8,77,49,45,51,76,13,15,3,8,93,58,14,7,44,12,229,341,138,144
10016,2020-01,1314,194,64,140,24,11,39,0,26,5,1,0,1,5,140,64,87,11,60,17,19,2,4,82,40,7,19,38,39,222,740,159,116
10017,2020-01,440,67,59,22,8,0,27,0,20,5,2,0,0,2,22,59,36,1,15,14,1,1,0,5,25,2,5,19,27,105,206,23,60
10018,2020-01,444,70,54,9,4,1,24,0,10,7,2,0,2,1,9,54,27,7,22,11,3,0,0,15,22,0,6,17,24,120,179,46,58
10019,2020-01,1251,262,129,88,32,6,59,0,27,9,2,0,2,8,88,129,91,58,61,33,19,2,12,50,65,14,31,33,59,368,551,81,159
10021,2020-01,515,82,49,44,12,10,8,0,11,9,0,0,2,12,44,49,26,16,27,7,6,1,1,51,22,5,2,27,8,132,195,88,65
10022,2020-01,746,132,70,56,16,2,36,0,22,16,0,0,2,9,56,70,65,5,27,13,22,2,4,40,57,7,19,42,36,166,338,65,99
10023,2020-01,1085,178,143,60,17,20,66,0,16,6,2,0,1,12,60,143,72,22,51,23,10,2,7,116,29,8,56,56,66,308,420,146,89
10024,2020-01,1123,310,70,125,25,39,15,0,8,3,0,0,3,1,125,70,36,33,203,16,21,2,18,82,27,17,35,67,15,364,461,127,89
10025,2020-01,1494,355,39,249,62,52,29,0,22,16,3,0,2,10,249,39,95,37,141,25,57,16,19,102,44,28,25,109,29,337,742,176,101
10026,2020-01,943,295,111,179,41,29,12,0,4,7,0,0,2,5,179,111,20,11,143,58,63,6,20,32,9,24,5,44,12,407,386,69,25
10027,2020-01,1389,315,107,332,64,26,17,0,5,8,4,0,9,15,332,107,33,16,231,22,13,11,13,73,30,32,22,54,17,437,658,138,85
10028,2020-01,657,168,27,60,16,17,10,0,10,10,1,0,0,4,60,27,56,9,57,16,6,2,5,71,22,11,23,37,10,155,294,95,66
10029,2020-01,1314,404,107,214,54,29,20,0,10,7,4,0,2,33,214,107,26,27,299,30,22,7,23,39,37,37,13,52,20,549,500,106,87
10030,2020-01,775,283,32,161,46,16,4,0,1,1,1,0,4,18,161,32,12,39,202,21,9,10,20,27,3,37,1,23,4,335,343,53,17
