month,quality_score,community_district,name,quality_score_t_plus_6m,top3_drivers,quality_percentile_month,quality_index_0_100,quality_grade
2010-01-01,-0.18617429837629287,BK 01,Greenpoint/Williamsburg,-0.1561061526242971,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,41.71390882479444,D
2010-02-01,-0.18102450545744278,BK 01,Greenpoint/Williamsburg,-0.15095635970544702,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,41.98238168785116,D
2010-03-01,-0.17637307959525558,BK 01,Greenpoint/Williamsburg,-0.14580656678659693,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,42.22487330609594,D
2010-04-01,-0.1712232866764055,BK 01,Greenpoint/Williamsburg,-0.1408228962199678,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,42.49334616915266,D
2010-05-01,-0.16623961610977636,BK 01,Greenpoint/Williamsburg,-0.1356731033011177,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,42.75315861727207,D
2010-06-01,-0.16108982319092627,BK 01,Greenpoint/Williamsburg,-0.13068943273448858,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,43.02163148032879,D
2010-07-01,-0.1561061526242971,BK 01,Greenpoint/Williamsburg,-0.12553963981563845,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,43.281443928448205,D
2010-08-01,-0.15095635970544702,BK 01,Greenpoint/Williamsburg,-0.12038984689678836,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,43.54991679150493,D
2010-09-01,-0.14580656678659693,BK 01,Greenpoint/Williamsburg,-0.11573842103460118,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,43.81838965456164,D
2010-10-01,-0.1408228962199678,BK 01,Greenpoint/Williamsburg,-0.11058862811575107,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,44.078202102681054,D
2010-11-01,-0.1356731033011177,BK 01,Greenpoint/Williamsburg,-0.10560495754912194,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,44.346674965737776,D
2010-12-01,-0.13068943273448858,BK 01,Greenpoint/Williamsburg,-0.10045516463027185,"Severe crowding (-2.12), Commute time (+1.37), Mod. burden (mod inc) (-1.17)",47.45762711864407,44.60648741385719,D
2011-01-01,-0.12553963981563845,BK 01,Greenpoint/Williamsburg,-0.09547149406364272,,47.45762711864407,44.87496027691391,D
2011-02-01,-0.12038984689678836,BK 01,Greenpoint/Williamsburg,-0.09032170114479261,,47.45762711864407,45.14343313997064,D
2011-03-01,-0.11573842103460118,BK 01,Greenpoint/Williamsburg,-0.0851719082259425,,47.45762711864407,45.38592475821542,D
2011-04-01,-0.11058862811575107,BK 01,Greenpoint/Williamsburg,-0.08018823765931338,,47.45762711864407,45.654397621272146,D
2011-05-01,-0.10560495754912194,BK 01,Greenpoint/Williamsburg,-0.07503844474046328,,49.152542372881356,45.91421006939155,D
2011-06-01,-0.10045516463027185,BK 01,Greenpoint/Williamsburg,-0.07005477417383416,,49.152542372881356,46.18268293244828,D
2011-07-01,-0.09547149406364272,BK 01,Greenpoint/Williamsburg,-0.06490498125498405,,49.152542372881356,46.44249538056768,D
2011-08-01,-0.09032170114479261,BK 01,Greenpoint/Williamsburg,-0.05975518833613395,,49.152542372881356,46.71096824362441,D
2011-09-01,-0.0851719082259425,BK 01,Greenpoint/Williamsburg,-0.05493764012172579,,49.152542372881356,46.979441106681136,D
2011-10-01,-0.08018823765931338,BK 01,Greenpoint/Williamsburg,-0.04978784720287569,,49.152542372881356,47.23925355480054,D
2011-11-01,-0.07503844474046328,BK 01,Greenpoint/Williamsburg,-0.044804176636246563,,49.152542372881356,47.50772641785726,D
2011-12-01,-0.07005477417383416,BK 01,Greenpoint/Williamsburg,-0.03965438371739646,,49.152542372881356,47.767538865976675,D
2012-01-01,-0.06490498125498405,BK 01,Greenpoint/Williamsburg,-0.03467071315076733,,49.152542372881356,48.0360117290334,D
2012-02-01,-0.05975518833613395,BK 01,Greenpoint/Williamsburg,-0.02952092023191723,,50.847457627118644,48.30448459209012,D
2012-03-01,-0.05493764012172579,BK 01,Greenpoint/Williamsburg,-0.02437112731306713,,50.847457627118644,48.555636625272214,D
2012-04-01,-0.04978784720287569,BK 01,Greenpoint/Williamsburg,-0.019387456746438,,50.847457627118644,48.82410948832893,D
2012-05-01,-0.044804176636246563,BK 01,Greenpoint/Williamsburg,-0.0142376638275879,,50.847457627118644,49.08392193644834,D
2012-06-01,-0.03965438371739646,BK 01,Greenpoint/Williamsburg,-0.00925399326095877,,50.847457627118644,49.35239479950506,D
2012-07-01,-0.03467071315076733,BK 01,Greenpoint/Williamsburg,-0.004104200342108669,,50.847457627118644,49.612207247624475,D
2012-08-01,-0.02952092023191723,BK 01,Greenpoint/Williamsburg,0.0010455925767414314,,50.847457627118644,49.8806801106812,D
2012-09-01,-0.02437112731306713,BK 01,Greenpoint/Williamsburg,0.005697018438928619,,50.847457627118644,50.14915297373793,D
2012-10-01,-0.019387456746438,BK 01,Greenpoint/Williamsburg,0.01084681135777872,,52.54237288135594,50.408965421857324,D
2012-11-01,-0.0142376638275879,BK 01,Greenpoint/Williamsburg,0.01583048192440785,,52.54237288135594,50.677438284914054,D
2012-12-01,-0.00925399326095877,BK 01,Greenpoint/Williamsburg,0.02098027484325795,,52.54237288135594,50.93725073303346,D
2013-01-01,-0.004104200342108669,BK 01,Greenpoint/Williamsburg,0.02596394540988708,,52.54237288135594,51.20572359609019,D
2013-02-01,0.0010455925767414314,BK 01,Greenpoint/Williamsburg,0.03111373832873718,,52.54237288135594,51.47419645914691,D
2013-03-01,0.005697018438928619,BK 01,Greenpoint/Williamsburg,0.03626353124758728,,52.54237288135594,51.716688077391694,D
2013-04-01,0.01084681135777872,BK 01,Greenpoint/Williamsburg,0.041247201814216414,,52.54237288135594,51.98516094044842,D
2013-05-01,0.01583048192440785,BK 01,Greenpoint/Williamsburg,0.046396994733066514,,52.54237288135594,52.244973388567814,D
2013-06-01,0.02098027484325795,BK 01,Greenpoint/Williamsburg,0.05138066529969564,,52.54237288135594,52.51344625162455,D
2013-07-01,0.02596394540988708,BK 01,Greenpoint/Williamsburg,0.05653045821854574,,52.54237288135594,52.773258699743955,D
2013-08-01,0.03111373832873718,BK 01,Greenpoint/Williamsburg,0.06168025113739584,,52.54237288135594,53.04173156280068,D
2013-09-01,0.03626353124758728,BK 01,Greenpoint/Williamsburg,0.06633167699958303,,52.54237288135594,53.3102044258574,D
2013-10-01,0.041247201814216414,BK 01,Greenpoint/Williamsburg,0.07148146991843313,,54.23728813559322,53.57001687397681,D
2013-11-01,0.046396994733066514,BK 01,Greenpoint/Williamsburg,0.07646514048506226,,55.932203389830505,53.838489737033534,D
2013-12-01,0.05138066529969564,BK 01,Greenpoint/Williamsburg,0.08161493340391236,,55.932203389830505,54.098302185152946,D
2014-01-01,0.05653045821854574,BK 01,Greenpoint/Williamsburg,0.08659860397054149,,55.932203389830505,54.36677504820966,D
2014-02-01,0.06168025113739584,BK 01,Greenpoint/Williamsburg,0.0917483968893916,,55.932203389830505,54.63524791126638,D
2014-03-01,0.06633167699958303,BK 01,Greenpoint/Williamsburg,0.09689818980824169,,55.932203389830505,54.877739529511175,D
2014-04-01,0.07148146991843313,BK 01,Greenpoint/Williamsburg,0.10188186037487082,,55.932203389830505,55.14621239256789,D
2014-05-01,0.07646514048506226,BK 01,Greenpoint/Williamsburg,0.10703165329372093,,55.932203389830505,55.40602484068731,D
2014-06-01,0.08161493340391236,BK 01,Greenpoint/Williamsburg,0.11201532386035006,,55.932203389830505,55.674497703744024,D
